loan_id,no_of_dependents,education,self_employed,age,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
151,0,0,1,35,201000,1550,24,785,39600,15800,3300,260300,0
152,3,0,0,80,988000,25180,23,515,59100,7900,4400,687000,0
153,4,1,1,44,1475000,18560,17,437,8200,200,15200,494700,0
154,5,0,1,77,1449000,14590,9,835,17500,47700,45300,68700,0
155,0,1,1,59,846000,35730,15,804,18500,6400,25800,704100,1
156,1,1,1,43,1218000,16200,20,333,62700,41600,32300,999800,0
157,4,1,1,63,730000,8160,7,656,37400,48600,33300,863800,1
158,5,1,1,21,270000,30020,21,565,89700,27600,27800,317900,1
159,4,1,1,65,1429000,8690,15,625,28700,21500,48200,280900,1
160,2,0,0,79,1167000,37730,24,393,34400,71100,13400,938500,0
161,2,1,0,77,1445000,41540,5,898,16400,42300,23800,31900,0
162,2,1,1,31,509000,26860,5,434,87800,10800,37300,554000,0
163,0,1,1,63,1179000,32450,10,358,13900,7400,44500,101600,0
164,1,1,0,70,912000,1620,16,349,79900,4700,28100,576200,0
165,2,1,0,47,778000,21470,8,402,84700,79900,6700,911100,0
166,5,1,1,22,1227000,46440,16,380,31100,47100,5200,597200,0
167,2,1,0,28,1347000,39510,19,851,24100,70100,13800,309000,1
168,2,1,0,67,745000,11940,28,520,47000,13500,3700,905800,0
169,0,1,0,50,750000,30800,29,645,48400,29400,38200,60300,0
170,1,1,0,24,969000,24740,24,662,13100,37500,23700,623500,1
171,4,1,0,46,1349000,30640,9,645,1100,38600,18700,715600,1
172,2,0,1,45,223000,43510,20,618,13300,70500,10000,557500,0
173,1,1,1,24,1368000,10070,29,498,39100,48700,40400,178500,0
174,1,0,1,78,755000,47170,15,562,33300,92100,38000,424700,0
175,1,1,0,51,1401000,32110,5,516,12600,96800,39500,958400,1
176,3,0,0,34,642000,39600,19,894,88200,97000,8600,27500,1
177,0,1,1,50,1374000,38450,8,764,77400,2100,37000,182500,1
178,1,1,0,58,1400000,9400,12,444,18600,47400,38900,332800,0
179,4,1,1,69,314000,44530,9,828,86000,49400,8700,244900,1
180,5,1,1,45,482000,46120,10,646,29100,19000,3200,851200,1
181,0,0,1,45,1237000,26940,24,899,42400,72500,32500,727600,1
182,4,0,1,36,281000,34870,8,864,69200,73400,46300,305200,1
183,2,1,0,53,580000,37120,17,731,33100,57100,33100,121500,1
184,0,0,1,49,454000,46260,13,636,84300,3000,49800,877100,1
185,0,0,1,40,428000,24950,19,777,5600,65600,3500,140700,1
186,0,1,1,53,741000,15990,23,593,44500,43400,38500,233500,0
187,0,1,1,53,698000,44460,16,748,91100,85700,24100,76400,1
188,4,0,0,48,1337000,6800,12,588,67100,98800,7800,973300,1
189,3,0,0,70,1167000,1710,26,801,73500,74300,7500,113300,0
190,1,1,1,49,286000,18830,17,772,90500,33200,3700,760000,1
191,3,0,0,33,821000,38440,6,887,49800,69400,12600,640300,1
192,5,1,1,29,418000,30310,12,363,64800,4300,23600,462900,0
193,1,0,1,62,602000,7370,11,684,89400,47900,20200,885800,1
194,3,1,0,59,1003000,42610,17,583,3000,26500,35100,427900,1
195,2,0,0,53,1486000,5570,8,756,33300,87200,44900,917000,1
196,3,0,1,80,1127000,16050,11,394,54700,3800,35200,294600,0
197,4,1,0,28,367000,8600,14,763,30300,59400,7900,153300,1
198,1,0,1,78,774000,8060,27,618,66900,71000,19700,697400,0
199,1,1,0,64,640000,19580,6,846,6900,55000,38700,326000,1
200,5,0,1,26,1187000,40820,22,615,4800,84100,7900,827000,1
201,3,1,0,62,765000,17000,12,574,99600,64700,46500,612100,1
202,2,1,1,79,742000,22490,23,680,15800,31200,9200,138800,0
203,2,1,0,56,1483000,46820,23,737,54900,73600,35900,278200,0
204,3,0,1,31,1277000,8360,18,366,98200,65600,11300,426400,0
205,0,0,1,54,480000,41120,22,322,42000,56100,34800,28800,0
206,1,1,0,54,1420000,46220,27,621,44000,67900,1300,238400,0
207,3,0,0,39,1463000,31100,8,460,2900,75400,43200,330600,0
208,5,1,0,39,619000,15070,10,633,76100,54100,44500,578800,1
209,1,0,1,29,554000,22500,29,728,14200,66200,32800,106500,1
210,1,1,1,59,741000,23910,16,740,26200,51000,7500,62700,0
211,4,0,1,25,1453000,15240,18,462,91100,1700,8200,622200,0
212,5,0,1,37,1050000,36550,25,697,57400,71600,12100,172000,1
213,5,1,1,23,1304000,27720,8,585,13000,95600,34100,116400,1
214,0,0,1,44,205000,47480,21,822,99700,85600,10900,521800,0
215,5,1,1,37,535000,7370,27,695,51600,37700,37000,36100,0
216,0,1,0,24,1270000,10950,14,637,22700,56900,25400,285900,1
217,3,0,1,23,441000,41660,17,836,63100,8700,40500,806800,1
218,1,1,1,74,651000,19810,9,734,51000,26200,18300,630100,0
219,4,0,1,73,1374000,4320,13,376,46900,65600,8100,178400,0
220,2,1,0,38,1110000,26590,13,839,72100,18800,17700,809100,1
221,2,1,0,70,1320000,1170,29,624,41000,39100,7300,340000,0
222,2,1,1,29,434000,48660,28,520,83700,61500,32200,404000,1
223,4,0,0,28,593000,34460,15,588,42000,9600,46000,972300,1
224,0,1,1,79,535000,15420,8,563,33500,50200,32800,281300,0
225,0,1,1,39,901000,28070,29,506,5500,11600,43500,996700,1
226,3,1,0,34,1006000,2410,14,847,20800,79100,1700,309800,1
227,5,0,1,50,1224000,43710,15,509,92400,13500,16200,235400,1
228,2,0,0,27,1153000,16110,5,704,12700,30000,25100,683000,1
229,2,1,0,76,768000,29400,6,358,24200,85800,42700,793100,0
230,4,0,0,27,494000,36780,29,591,2800,5300,13700,464600,1
231,5,0,1,59,1000000,41540,27,740,60300,51500,2700,623300,0
232,5,0,0,35,533000,35090,21,605,88000,94400,6700,300400,1
233,0,0,1,56,1346000,3300,14,534,96600,64100,41700,25200,1
234,3,0,1,76,819000,26390,18,781,53000,85200,30400,720200,0
235,2,1,0,35,899000,27820,23,523,1100,8700,6700,627200,1
236,4,1,0,64,1168000,14470,10,606,81500,72300,49800,390300,1
237,4,0,0,30,1351000,28070,8,740,20200,76700,21100,65500,0
238,5,0,1,71,1030000,36250,27,706,57600,90500,29100,148000,0
239,2,1,0,40,329000,24010,11,804,88900,37100,8900,344400,1
240,2,1,1,51,935000,40200,18,820,28400,72900,31300,134800,1
241,5,0,1,54,1045000,33300,8,621,27800,83300,41600,422000,1
242,1,0,0,62,958000,39050,29,403,68300,66700,11700,864500,0
243,5,0,1,24,1071000,44240,16,659,54900,28200,25600,914500,1
244,3,0,0,51,1245000,40310,26,635,75300,62800,23100,447800,0
245,5,1,1,54,1474000,37020,6,440,57200,2300,46200,643900,0
246,3,1,1,40,968000,2580,22,792,49900,81800,24300,448000,1
247,1,1,0,27,450000,43890,15,330,61800,80700,41600,998500,0
248,2,0,0,29,1156000,38940,10,482,5300,33700,6000,784500,0
249,1,0,1,42,248000,3640,14,526,38600,55000,9600,519400,0
250,5,1,1,78,1457000,26610,14,560,49600,74100,45700,95600,0
251,0,0,0,21,1371000,9740,20,845,36300,28800,5600,630400,1
252,0,1,1,27,619000,32960,28,376,7300,52100,33000,605800,0
253,0,0,1,48,866000,17220,17,789,1100,70700,21300,713200,1
254,5,0,0,42,402000,3710,10,879,45600,33000,29600,437300,1
255,3,0,1,28,1231000,24320,28,311,46500,54900,39200,363400,0
256,4,1,1,61,234000,27580,18,790,7900,78700,24700,385300,0
257,0,1,0,51,901000,19080,29,836,90900,29400,36700,893800,0
258,1,0,0,46,797000,45960,8,840,11000,1800,36900,577800,1
259,0,1,1,59,930000,43390,12,356,3500,43400,22500,977700,0
260,3,0,0,79,1411000,8130,24,470,44200,75600,3600,574600,0
261,2,0,1,32,1347000,39100,7,433,87400,85400,14500,926500,0
262,2,1,1,31,303000,39970,12,636,6700,91700,1900,252900,1
263,0,1,0,50,338000,31430,9,879,30700,82500,46100,283200,1
264,1,0,0,79,1208000,17910,29,798,8000,59800,29800,28400,0
265,0,0,0,53,821000,27470,13,849,36800,32600,38600,370900,1
266,5,1,0,44,631000,7080,10,758,200,4500,21000,283400,1
267,1,1,1,73,390000,10940,19,757,86400,78000,13400,417000,0
268,0,0,0,51,413000,49200,20,404,80700,86600,9700,940400,0
269,5,0,0,74,1039000,32290,9,703,63500,6900,29200,573400,0
270,0,0,0,21,777000,39640,26,472,53700,100,22400,759400,0
271,3,0,1,54,864000,28040,23,520,93100,17500,10100,910600,0
272,5,0,1,74,432000,34510,12,854,70500,93100,13000,69900,0
273,4,1,0,59,549000,48480,23,314,6600,48800,39800,239900,0
274,3,0,1,22,275000,35400,28,487,7800,10800,8300,558600,0
275,2,1,0,53,479000,37330,17,729,78500,39800,45000,917100,1
276,3,0,0,80,1104000,31960,12,446,24000,60300,41700,992900,0
277,4,0,0,56,965000,13680,5,649,13300,38500,12900,844600,1
278,4,0,1,35,1141000,30210,10,529,68100,41600,46900,805800,1
279,4,0,1,80,561000,8640,7,618,15400,67200,12000,701900,0
280,1,0,1,47,803000,3250,28,536,67100,100,42100,41100,0
281,5,1,1,66,365000,32930,18,759,68900,39200,38600,728300,1
282,2,1,1,37,987000,33630,10,552,17700,35800,34500,734700,1
283,2,1,1,73,623000,45080,23,569,23400,19600,35500,619700,0
284,2,1,0,50,990000,43740,14,863,18100,94900,10900,373400,1
285,3,1,1,67,1432000,39380,19,791,23900,72400,8700,764500,1
286,0,1,1,33,1360000,42520,8,587,38000,70800,41200,48200,0
287,3,1,1,29,1181000,5450,20,632,61300,19200,27500,40300,0
288,0,0,1,25,525000,16550,29,813,59900,62500,48500,164400,1
289,1,1,0,55,485000,17230,19,885,40800,12900,28600,19100,0
290,1,0,1,38,1249000,20780,23,700,70800,34700,15600,112600,1
291,0,0,1,61,1136000,23690,6,597,87500,97600,31800,824700,1
292,1,0,1,70,364000,34210,5,756,6900,44600,28500,100600,0
293,4,0,0,58,1287000,39100,27,734,6900,43600,46800,585700,0
294,3,1,0,36,1107000,45800,16,726,60600,55200,11400,395300,1
295,0,0,0,61,986000,45180,16,388,34300,21600,3400,53600,0
296,5,0,1,55,809000,22780,9,307,71800,97700,33200,553600,0
297,5,1,1,60,1476000,10430,9,304,47100,23600,21700,209000,0
298,3,0,1,65,1239000,22820,14,803,78900,48400,28300,804500,1
299,3,0,1,47,622000,9430,7,623,91800,92400,6000,73600,1
300,3,1,1,31,1380000,3360,8,796,42400,75100,44700,276200,1
301,5,1,0,43,1251000,36530,27,629,63100,57100,49300,157700,1
302,5,0,1,34,341000,33600,23,755,90000,31400,2900,516100,1
303,1,0,0,54,713000,27470,21,728,18000,69500,47200,499300,0
304,5,1,1,35,1154000,33660,21,471,1900,93700,39300,384900,0
305,4,0,1,60,723000,26920,9,534,54400,98500,10500,741200,1
306,2,0,1,26,558000,33350,8,424,98400,45300,22900,76800,0
307,2,1,1,59,791000,13380,17,800,24800,42400,49900,929700,1
308,3,0,1,48,1482000,38000,23,817,47100,54400,20300,312900,1
309,2,0,1,25,1451000,46200,5,528,13200,75300,10900,985400,1
310,3,0,1,50,1020000,3280,28,658,73500,39400,17700,453400,1
311,0,0,0,23,857000,49360,6,634,58100,28000,16000,183700,1
312,2,0,0,61,1405000,20840,20,667,28800,29600,12800,221400,1
313,2,0,0,56,955000,15020,17,665,5800,60600,29900,309600,1
314,5,1,1,71,1373000,25650,5,414,9300,79200,29300,424000,0
315,5,1,0,38,1120000,19080,24,429,92600,18200,25100,629100,0
316,2,0,1,24,774000,30970,21,713,89300,28100,27800,850500,1
317,4,0,0,44,1487000,10480,11,457,92200,27200,35400,604200,0
318,4,1,0,39,427000,16140,18,611,8700,11800,30000,598100,1
319,0,1,0,44,1330000,47140,28,825,19900,34900,28700,512700,1
320,1,1,0,57,1344000,14570,29,789,50800,91800,36200,627100,0
321,4,1,1,33,806000,43450,19,376,85000,85700,45800,748600,0
322,5,1,0,29,1425000,29670,16,506,49600,45500,2100,148400,1
323,3,0,0,24,445000,20350,22,722,4900,86200,9600,978000,1
324,2,1,1,27,683000,48240,20,730,33000,95400,44000,527500,1
325,4,1,1,42,1318000,20050,25,439,21100,17200,14200,52200,0
326,0,1,0,48,1318000,26370,22,664,4500,30700,36800,925400,1
327,5,1,1,50,1035000,43850,16,539,55600,44800,34600,528900,1
328,1,1,0,79,477000,34910,9,754,20500,70400,42000,986600,0
329,1,0,0,71,623000,2430,25,465,62700,14700,35200,114400,0
330,0,1,0,64,1492000,41260,6,547,48000,67600,28500,623700,1
331,4,1,0,38,1271000,17450,20,862,2000,81700,5800,719600,1
332,0,1,1,63,911000,12480,27,778,30300,21900,49300,88100,0
333,2,1,1,68,1103000,20920,29,756,2800,49400,11300,321600,0
334,0,1,1,49,738000,2240,12,396,64900,14000,49800,912600,0
335,1,1,0,56,565000,49290,11,374,86100,97200,1000,114200,0
336,5,0,0,77,1314000,35120,20,396,76400,86500,19800,993700,0
337,1,0,1,31,576000,39990,5,863,48700,54000,11500,101100,1
338,2,0,1,60,582000,10940,22,440,49600,33300,2800,54800,0
339,1,0,1,53,680000,29520,21,304,55000,18000,46400,667800,0
340,3,0,0,66,948000,48050,16,450,98000,12500,8100,16500,0
341,5,0,1,49,1340000,27290,26,465,93400,63500,42200,969300,0
342,2,0,1,61,1349000,20750,16,482,76000,8500,23200,554400,0
343,0,1,1,39,637000,14880,11,378,11200,95600,11100,47000,0
344,2,1,0,58,657000,2400,10,639,92500,68800,17700,224300,1
345,0,0,1,56,1133000,19360,11,386,39300,11900,13600,319000,0
346,3,1,1,38,1211000,49240,20,469,34900,35100,49800,647300,0
347,2,0,0,44,566000,14990,18,455,24800,17800,38800,968400,0
348,5,0,0,54,1118000,13160,13,705,78000,63400,15400,41700,0
349,4,0,1,56,322000,36450,24,414,6600,94800,24100,714000,0
350,3,1,1,32,335000,47290,20,466,57500,55300,11600,50500,0
351,3,0,0,55,1174000,6170,17,377,35200,35200,42100,354600,0
352,4,1,0,46,773000,38230,22,584,72000,24600,48100,639900,1
353,2,0,0,70,1000000,29940,18,530,62100,49400,37600,583200,1
354,4,1,1,40,929000,10360,12,838,64800,1500,11800,776500,1
355,3,0,0,45,1017000,30890,17,744,13000,3600,5000,135300,0
356,1,0,0,23,1191000,32910,17,514,87100,99800,1000,882000,1
357,5,1,0,46,755000,47570,6,548,12300,21100,10900,67200,0
358,3,0,0,78,1143000,29720,27,856,26000,54400,23800,52900,0
359,0,0,0,79,902000,12000,8,659,36000,29000,37300,940600,0
360,3,0,1,63,1404000,45250,11,457,53600,79700,35900,744100,0
361,4,0,1,44,625000,18750,23,314,85800,1700,43600,966800,0
362,3,0,0,27,339000,22510,28,519,82900,19600,11300,669300,1
363,0,1,0,64,448000,33180,27,847,12500,82100,26900,413300,0
364,2,1,1,52,1224000,33170,6,719,44500,93200,49400,149400,1
365,4,0,1,67,1170000,25450,23,705,36900,4800,17300,708900,0
366,2,1,0,26,653000,37590,25,795,9100,37600,11900,844100,1
367,2,0,1,25,497000,46050,28,471,87800,55000,36800,436900,0
368,5,0,0,64,1098000,31160,5,467,94500,9500,30400,38900,0
369,1,0,1,62,245000,20930,6,762,45200,45900,42100,993200,0
370,5,1,1,74,1066000,2620,11,669,74700,40200,35000,323000,0
371,3,0,1,56,290000,48150,14,536,66600,70300,33500,10200,0
372,1,0,1,48,294000,21620,27,393,42100,84700,23200,784700,0
373,2,0,0,80,797000,3640,19,641,81400,44600,2800,458000,0
374,2,0,1,61,971000,46300,29,579,77300,51900,15400,91900,0
375,2,1,1,30,1437000,2340,19,533,23500,43500,41600,595300,1
376,2,1,0,39,577000,36550,11,308,53600,15000,19600,887500,0
377,2,0,0,40,1275000,35550,9,606,69600,63200,45000,266900,1
378,2,1,1,39,1103000,48300,15,843,90000,96200,11300,256500,1
379,0,1,1,37,960000,43360,13,391,59100,57000,7400,514000,0
380,3,1,1,62,1235000,24920,8,890,43300,67600,48100,378700,1
381,4,0,0,55,444000,18160,13,728,82700,52500,7500,689600,1
382,0,1,0,70,1077000,42730,8,701,42700,60700,24100,786700,1
383,1,1,0,56,884000,37640,11,459,67800,23400,34400,427000,0
384,3,0,1,29,661000,20360,22,656,52100,61700,2300,690900,1
385,1,1,0,48,634000,19740,8,364,62000,74600,41300,185300,0
386,1,1,1,34,221000,12160,17,469,13800,10000,5600,691300,0
387,0,0,0,54,1374000,18150,26,347,73400,76000,44500,159800,0
388,0,1,1,67,804000,42960,16,788,76000,82300,47200,95000,1
389,2,0,1,62,1343000,26060,6,515,46100,26200,33300,60800,0
390,4,1,1,76,236000,27510,20,893,6300,97700,3100,659600,0
391,2,1,0,54,1016000,18480,26,355,19500,4800,36500,537000,0
392,3,0,0,65,1283000,22120,28,741,13000,38900,32100,760500,0
393,2,1,1,24,1036000,18080,26,807,9700,30200,42200,892300,1
394,3,0,1,39,1092000,28890,7,870,35600,13400,49700,538500,1
395,4,1,1,28,1201000,7180,20,356,40600,31600,33100,965700,0
396,3,1,1,22,634000,33260,29,402,63300,60300,15500,563200,0
397,4,1,1,55,1093000,37240,14,788,94600,63000,44900,846100,1
398,4,1,0,50,886000,35830,28,627,41100,10600,36300,369900,1
399,0,0,1,58,275000,30150,27,335,75200,68900,14500,77700,0
400,0,1,1,26,1475000,28250,9,772,34700,92400,27100,742700,1
401,1,0,0,21,860000,39780,15,540,69400,91600,34400,873300,1
